rep,seed,method,E,active,exact_zeros,reference_active,F1_reference,jaccard_reference,test_mse,validation_mse,objective,support_bits,fit_converged,lambda_bar,lam,capped_candidates,diagnostics,tau,selected_rounds,fitting_rounds,selected_local_epochs,total_local_epochs,vector_kib,scalar_kib,setup_scalar_kib,coef_0,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,upload_kib
0,20260911,Pooled,0,9,1,4,0.6153846153846154,0.4444444444444444,2927.428649833189,2803.478654547484,2325.3040546742136,991,True,8.582647991049786,0.5066151937013239,0,{},,0,0,,,0.0,0.0,0.5390625,-2.61297075803852,-8.40335557575216,25.854838353819602,18.539474876417685,-7.674841489921659,0.0,-7.60093905690352,3.474723119013162,25.879566572303904,1.0290945051972424,0.5390625
0,20260911,Pooled-1SE,0,4,6,4,1.0,1.0,3177.511113036409,3096.023419555992,2097.0190075177584,332,True,8.582647991049786,11.207423848098799,0,{},,0,0,,,0.0,0.0,0.5390625,0.0,-0.0,21.60408257400114,10.021917156859935,0.0,0.0,-2.6994518672076073,0.0,19.21170854563679,0.0,0.5390625
0,20260911,Largest-site,0,4,6,4,0.75,0.6,3450.7784667988776,3302.222343209659,2159.0467688931167,780,True,8.582647991049786,15.16439423258282,0,{},,0,0,,,0.0,0.0,0.5390625,0.0,0.0,21.596229126564364,13.21503293486089,0.0,-0.0,-0.0,0.0,10.803847914338089,0.29005878262351575,0.5390625
0,20260911,Largest-site-1SE,0,3,7,4,0.8571428571428571,0.75,4219.417572650526,4265.434657784806,2534.0919551417196,268,True,8.582647991049786,30.98631232056187,0,{},,0,0,,,0.0,0.0,0.5390625,0.0,0.0,15.775940663211337,2.6942362099077752,0.0,0.0,-0.0,0.0,1.6767665243159,0.0,0.5390625
0,20260911,One-shot,0,9,1,4,0.6153846153846154,0.4444444444444444,3091.1791650976097,2935.079812655171,2192.319698804647,991,True,8.582647991049786,8.582647991049786,0,{},,1,1,,,0.234375,0.0,0.5390625,-3.0217959810845563,-2.699744533245928,22.612640352028617,14.354437538334501,-3.021067959459275,0.0,-7.6624953623515175,2.3640731769686,19.3565665787164,-1.2537145846134272,0.7734375
0,20260911,ADMM,0,4,6,4,1.0,1.0,3122.718492743633,3013.379571028488,2090.538735666891,332,True,8.582647991049786,8.582647991049786,0,{},,113,113,,,26.484375,0.0,0.5390625,-0.0,-0.0,22.72785613617127,11.563758628787156,-0.0,-0.0,-4.176098405639015,0.0,20.007218604657197,0.0,27.0234375
0,20260911,FedAvg,1,9,1,4,0.6153846153846154,0.4444444444444444,3086.460999518613,2926.3671376477223,2136.2492100527625,895,True,8.582647991049786,8.582647991049786,0,"{""fit_converged"": true, ""final_update_norm"": 9.725944269402576e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}",,17,17,17.0,17.0,3.984375,0.0,0.5390625,-1.5297209966655738,-1.956442748511734,22.44518781127234,11.992734205026768,-0.4067967521619191,0.2273926319389292,-9.495194747198664,0.0,18.981643496310337,-0.550920746383088,4.5234375
0,20260911,FedAvg-ST,1,4,6,4,1.0,1.0,3349.330223649937,3304.0294038987267,2152.295480119882,332,True,8.582647991049786,8.582647991049786,0,"{""fit_converged"": true, ""final_update_norm"": 9.725944269402576e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}",4.5622401901607335,17,17,17.0,17.0,3.984375,2.8125,0.5390625,-0.0,-0.0,17.882947621111608,7.430494014866034,-0.0,0.0,-4.93295455703793,0.0,14.419403306149604,-0.0,7.3359375
0,20260911,FedAvg-P,1,4,6,4,1.0,1.0,3357.637757038004,3159.4314096880007,2146.8857768425128,332,True,8.582647991049786,8.582647991049786,0,"{""selected_candidate"": 1, ""candidate_rounds"": [10, 16, 16, 16, 16], ""candidate_diagnostics"": [{""fit_converged"": true, ""final_update_norm"": 9.047182945074215e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}, {""fit_converged"": true, ""final_update_norm"": 3.7288688674233676e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}, {""fit_converged"": true, ""final_update_norm"": 3.891345202138159e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}, {""fit_converged"": true, ""final_update_norm"": 4.0012032087352395e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}, {""fit_converged"": true, ""final_update_norm"": 8.391995117900774e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}]}",4.291323995524893,16,74,16.0,74.0,17.34375,0.3515625,0.5390625,0.0,-0.0,24.937767411864677,8.968403038739728,0.0,0.0,-5.674153521015617,0.0,9.131646356956866,-0.0,18.234375
0,20260911,FedAvg,3,10,0,4,0.5714285714285714,0.4,3114.0417960498294,2917.6323825092622,2173.652002667281,1023,True,8.582647991049786,8.582647991049786,0,"{""fit_converged"": true, ""final_update_norm"": 2.9544223752912743e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}",,11,11,33.0,33.0,2.578125,0.0,0.5390625,-2.99301563635394,-2.7581261412945874,22.766612456824046,14.339830893505326,-0.4256611650497894,-0.6745261569246767,-10.001099132544443,0.8316058742139446,17.848451419989452,-1.0933776235814512,3.1171875
0,20260911,FedAvg-ST,3,4,6,4,1.0,1.0,3337.2565441076376,3258.0474864789066,2141.6272265945754,332,True,8.582647991049786,8.582647991049786,0,"{""fit_converged"": true, ""final_update_norm"": 2.9544223752912743e-06, ""fit_tolerance"": 1e-05, ""hit_round_cap"": false}",4.5622401901607335,11,11,33.0,33.0,2.578125,2.8125,0.5390625,-0.0,-0.0,18.204372266663313,9.777590703344593,-0.0,-0.0,-5.4388589423837095,0.0,13.28621122982872,-0.0,5.9296875
