scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,vector_kib_m,scalar_kib_m,upload_kib_m,selected_rounds_m,selected_local_epochs_m,selected_vector_kib_m,tuning_rounds_m,total_rounds_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,FedAvg-P,15.0,200,59.9,23.8,36.1,0.45682819506444433,0.7933333333333333,0.555756540742811,0.39199846623359685,3.297710175043785,30.992056595487288,17.975,269.625,252.7734375,0.3515625,253.125,3.625,54.375,50.9765625,14.35,18.975,0.007364318841637974,0.007116541479744731,0.021527483379522174,0.28476793698538827,0.007005621097959425,0.01094928899032387,1.8223624845583348
Correlated,FedAvg-P,20.0,200,59.72,23.795,35.925,0.4573338992605238,0.7931666666666666,0.556374056179226,0.392518403732804,3.2990130023354567,31.000385536576154,16.475,329.5,231.6796875,0.3515625,232.03125,3.345,66.9,47.0390625,13.13,17.475,0.0073263445397015676,0.007078454149252071,0.02146786367070322,0.2846373213438755,0.006994843358682664,0.010890144798107163,1.8091081675259346
Correlated,FedAvg-ST,1.0,200,53.575,23.65,29.925,0.503258918470068,0.7883333333333333,0.5903335527702238,0.4262640421200105,3.2647521196617824,30.83186004131713,16.225,16.225,228.1640625,2.8125,230.9765625,16.225,16.225,228.1640625,0.0,17.225,0.00727467261424037,0.007320388175078167,0.022304580644650455,0.276970533400718,0.006707371545856072,0.011492162509720632,1.6039435932261632
Correlated,FedAvg-ST,2.0,200,53.455,23.7,29.755,0.4973926880610191,0.79,0.5883327460608221,0.4228261065684649,3.2860483509490455,30.95712441999067,10.19,20.38,143.296875,2.8125,146.109375,10.19,20.38,143.296875,0.0,11.19,0.0065680731938571385,0.006570085580520896,0.021298961434958977,0.27688522454596365,0.00694156836031665,0.010600473362234863,1.5050801327604288
Correlated,FedAvg-ST,3.0,200,54.015,23.575,30.44,0.49220290172407843,0.7858333333333333,0.5823366056015212,0.41699011860783897,3.2989144871896183,31.03150049569458,8.125,24.375,114.2578125,2.8125,117.0703125,8.125,24.375,114.2578125,0.0,9.125,0.006696016668597287,0.006639239590186837,0.021135174765991454,0.2774109217589287,0.007094470995404399,0.010787384198780493,1.547513445602851
Correlated,FedAvg-ST,5.0,200,54.54,23.6,30.94,0.48694259778888205,0.7866666666666667,0.5790740134902534,0.4136033337048076,3.309201798274876,31.089016866279845,6.345,31.725,89.2265625,2.8125,92.0390625,6.345,31.725,89.2265625,0.0,7.345,0.006618630637410021,0.006573183736173885,0.020769919251907805,0.2771724642020525,0.006945588962078793,0.010692999270906849,1.5423313293998282
Correlated,FedAvg-ST,8.0,200,55.035,23.55,31.485,0.48230854099007414,0.785,0.5749803158137131,0.40974379404450617,3.314772977858717,31.118438326856886,5.185,41.48,72.9140625,2.8125,75.7265625,5.185,41.48,72.9140625,0.0,6.185,0.006727659079489461,0.006681533696436104,0.020633453816704752,0.2771327028016487,0.006988664348004383,0.010718687640581093,1.5605754881681813
Correlated,FedAvg-ST,10.0,200,55.25,23.51,31.74,0.4803454353359613,0.7836666666666667,0.5727781311715691,0.4075728927741315,3.3156864909903097,31.122293156437134,4.75,47.5,66.796875,2.8125,69.609375,4.75,47.5,66.796875,0.0,5.75,0.006738926451770923,0.0066745478444159905,0.02063655510581434,0.27754065263716676,0.007053239353042045,0.010747353857885139,1.5707238353173893
Correlated,FedAvg-ST,15.0,200,55.285,23.49,31.795,0.4791395811227138,0.7829999999999999,0.571841239839077,0.4065846471806157,3.3172559181844106,31.130759724440704,4.045,60.675,56.8828125,2.8125,59.6953125,4.045,60.675,56.8828125,0.0,5.045,0.006707822711198896,0.006635759801650407,0.020600581625829225,0.27724994192424884,0.007025478081019827,0.01070856770817373,1.5619273221885184
Correlated,FedAvg-ST,20.0,200,55.275,23.485,31.79,0.4788290401273611,0.7828333333333333,0.5716705287398804,0.4063913543290638,3.318044286988863,31.135541818741494,3.61,72.2,50.765625,2.8125,53.578125,3.61,72.2,50.765625,0.0,4.61,0.006695445028525987,0.006620820090249754,0.020554986242239084,0.2770112520806497,0.007013496998300514,0.010680783684414302,1.5574095471286407
