scenario,E,rounds,metric,contrast,mean,se,n
Correlated,20,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5440404856340655,0.03514637395451339,50
Correlated,20,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.2043400514253991,0.007546283577664935,50
Correlated,20,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.089121592438556,0.12423773548061919,50
Correlated,20,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4519484885151354,0.008921774198447287,50
Correlated,20,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5448348744861289,0.03510838524869211,50
Correlated,20,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.2084130862529063,0.007210370711110031,50
Correlated,20,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.1102075323455933,0.12468131339897359,50
Heterogeneous,1,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.18606392771737157,0.02237329785749233,50
Heterogeneous,1,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.9703963740235577,0.12351525401898888,50
Heterogeneous,1,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.25727676379624786,0.028925012226647402,50
Heterogeneous,1,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,3.024719505113105,0.17599211601445916,50
Heterogeneous,1,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2109168964545452,0.02329698527425385,50
Heterogeneous,1,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.6221547576494255,0.09155461171113824,50
Heterogeneous,1,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.02081062796029165,0.018944617778483597,50
Heterogeneous,1,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,1.0002870442347538,0.15294698928077538,50
Heterogeneous,1,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.24295019774005933,0.024672214586653717,50
Heterogeneous,1,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-3.002519249713243,0.08593104085790867,50
Heterogeneous,1,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.20588742791612064,0.01497095467497768,50
Heterogeneous,1,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.7053295788214153,0.20803698323502867,50
Heterogeneous,1,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2746182834178885,0.026560212305583784,50
Heterogeneous,1,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-3.116595310909473,0.08613564738219093,50
Heterogeneous,1,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.35906254051152103,0.017372765694271833,50
Heterogeneous,1,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.730590561232006,0.2613298680436645,50
Heterogeneous,1,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.28458880145874077,0.027037391148806947,50
Heterogeneous,1,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-3.1195180334073536,0.08571916305075682,50
Heterogeneous,1,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.37957189222395377,0.01740589071831614,50
Heterogeneous,1,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.8596985212436528,0.26888157221714465,50
Heterogeneous,5,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.27859530250666104,0.03180821657909389,50
Heterogeneous,5,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.1925428886576843,0.06174871651794825,50
Heterogeneous,5,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.13238293326935968,0.011776534147002521,50
Heterogeneous,5,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.541956606367243,0.20977023824104438,50
Heterogeneous,5,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.28664183735632726,0.03138000706758579,50
Heterogeneous,5,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.3476489356707524,0.06304569598316723,50
Heterogeneous,5,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.22729167745609552,0.014580567138730101,50
Heterogeneous,5,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.456755208062298,0.26448740997435877,50
Heterogeneous,5,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2873003234530006,0.03060812729666688,50
Heterogeneous,5,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.3796397587697733,0.06405855949915669,50
Heterogeneous,5,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.260057512268412,0.013904412917890217,50
Heterogeneous,5,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.7145459197612138,0.26973794864781814,50
Heterogeneous,5,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2667426346002874,0.02866970738261096,50
Heterogeneous,5,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.4278311366727463,0.06571563023116443,50
Heterogeneous,5,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.33921791321979883,0.016632710736885287,50
Heterogeneous,5,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.9229712735301465,0.2741501213996803,50
Heterogeneous,5,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2617753352404027,0.028454582283498633,50
Heterogeneous,5,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.433478201513489,0.06570598013877729,50
Heterogeneous,5,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.3499177573928191,0.015978383181853795,50
Heterogeneous,5,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.9635444036764387,0.2755172960070588,50
Heterogeneous,20,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.30261960771142393,0.03495160245356303,50
Heterogeneous,20,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.142248048608496,0.06632606344591584,50
Heterogeneous,20,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.09037958805884283,0.01669597845611631,50
Heterogeneous,20,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.7380170642431456,0.24678075896465454,50
Heterogeneous,20,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2989542996754499,0.033077958069952645,50
Heterogeneous,20,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.3194869035293255,0.0664023395135709,50
Heterogeneous,20,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.18984335245888462,0.017014661070092644,50
