scenario,rep,lam,L_max,E,rounds,client_rate,rate_multiplier,validation_mse,selected,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5000,0.3596450198881253,8.45756145698442,1,5,0.01182373908940597,0.1,35.556661676423374,False,0.46153846153846156,87,20.792740403269896,3.790391729063945,1.0602464768785254,41.942370682283
IID,5000,0.3596450198881253,8.45756145698442,1,5,0.03547121726821791,0.3,33.37837078340195,False,0.4778761061946903,83,19.846995287396346,2.8446466131903954,0.9126837778965045,39.54598698142697
IID,5000,0.3596450198881253,8.45756145698442,1,5,0.1182373908940597,1.0,28.504077454182443,True,0.5192307692307693,74,18.061359089238795,1.0590104150328443,0.5337551456743587,34.16524697787286
IID,5000,0.3596450198881253,8.45756145698442,1,10,0.01182373908940597,0.1,34.42553456419783,False,0.47368421052631576,84,20.292554988797725,3.2902063145917744,0.9851207662885244,40.69726464259681
IID,5000,0.3596450198881253,8.45756145698442,1,10,0.03547121726821791,0.3,30.95190571004987,False,0.4954128440366973,79,18.89367310431423,1.8913244301082806,0.7352486036916355,36.866645404571855
IID,5000,0.3596450198881253,8.45756145698442,1,10,0.1182373908940597,1.0,25.616292997905106,True,0.5869565217391305,62,17.31364999629742,0.3113013220914702,0.2702622311218297,30.955418773221872
IID,5000,0.3596450198881253,8.45756145698442,1,20,0.01182373908940597,0.1,32.52615202496894,False,0.4864864864864865,81,19.50039332903342,2.4980446548274706,0.8526824480528478,38.60306520501775
IID,5000,0.3596450198881253,8.45756145698442,1,20,0.03547121726821791,0.3,27.903776548443684,False,0.5454545454545454,69,17.88350619389385,0.8811575196878998,0.4849533924429754,33.48379927261075
IID,5000,0.3596450198881253,8.45756145698442,1,20,0.1182373908940597,1.0,23.743750727050504,True,0.6352941176470588,55,17.038965408497937,0.036616734291985864,0.08037794012599264,28.88928546427215
IID,5000,0.3596450198881253,8.45756145698442,1,50,0.01182373908940597,0.1,28.780038639398793,False,0.5294117647058824,72,18.150989418985677,1.1486407447797262,0.5619765718322742,34.4583969966425
IID,5000,0.3596450198881253,8.45756145698442,1,50,0.03547121726821791,0.3,24.45939721451489,False,0.627906976744186,56,17.118447603426787,0.11609892922083631,0.1570738283107055,29.67418579371865
IID,5000,0.3596450198881253,8.45756145698442,1,50,0.1182373908940597,1.0,23.049317928217683,True,0.7012987012987013,47,17.002475573561984,0.00012689935603305003,0.004578124849351273,28.13264619834161
IID,5000,0.3596450198881253,8.45756145698442,1,100,0.01182373908940597,0.1,25.811411294245108,False,0.5869565217391305,62,17.35489684670762,0.35254817250167036,0.2925849820707035,31.16962639331682
IID,5000,0.3596450198881253,8.45756145698442,1,100,0.03547121726821791,0.3,23.28748958003596,False,0.675,50,17.008358304508835,0.006009630302884261,0.030003064983568528,28.385611454782964
IID,5000,0.3596450198881253,8.45756145698442,1,100,0.1182373908940597,1.0,23.01784030067514,True,0.7105263157894737,46,17.00235137682898,2.702623028483231e-06,0.0023833766613788887,28.096176112063628
IID,5000,0.3596450198881253,8.45756145698442,5,5,0.01182373908940597,0.1,31.80080429834092,False,0.5,78,19.215639401371185,2.2132907271652336,0.7999397519039486,37.80080330652468
IID,5000,0.3596450198881253,8.45756145698442,5,5,0.03547121726821791,0.3,27.177899638936836,False,0.5869565217391305,62,17.67837439218739,0.6760257179814388,0.41926250662761566,32.68933724107923
IID,5000,0.3596450198881253,8.45756145698442,5,5,0.1182373908940597,1.0,23.880388812063373,True,0.7123287671232876,43,17.043814483736874,0.041465809530922826,0.0831346683568186,29.014356961188902
