active,TP,FP,FN,TN,precision,recall,F1,jaccard,coef_err,test_mse,rule,E,seed,converged,rounds,kib,lambda1,lambda2,lambda3
48,30,18,0,552,0.625,1,0.769230769,0.625,3.151663994,10.64317849,oracle_F1,1,19,TRUE,8,112.5,0.529831691,0.385662042,0.727895384
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.333077835,11.82334565,oracle_F1,3,19,TRUE,5,70.3125,0.529831691,0.385662042,0.727895384
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.358908085,11.99632992,oracle_F1,5,19,TRUE,4,56.25,0.529831691,0.385662042,0.727895384
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.364374275,12.0357389,oracle_F1,10,19,TRUE,3,42.1875,0.529831691,0.385662042,0.727895384
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.364450429,12.03631166,oracle_F1,20,19,TRUE,2,28.125,0.529831691,0.385662042,0.727895384
371,30,341,0,229,0.080862534,1,0.149625935,0.080862534,0.549996046,1.220891999,val_mse,1,20,TRUE,19,267.1875,0.030391954,0.078804628,0.041753189
349,30,319,0,251,0.085959885,1,0.158311346,0.085959885,0.652710786,1.338746867,val_mse,3,20,TRUE,10,140.625,0.030391954,0.078804628,0.041753189
327,30,297,0,273,0.091743119,1,0.168067227,0.091743119,0.698691699,1.401845465,val_mse,5,20,TRUE,8,112.5,0.030391954,0.078804628,0.041753189
313,30,283,0,287,0.095846645,1,0.174927114,0.095846645,0.742956978,1.468315153,val_mse,10,20,TRUE,6,84.375,0.030391954,0.078804628,0.041753189
310,30,280,0,290,0.096774194,1,0.176470588,0.096774194,0.763095575,1.497731961,val_mse,20,20,TRUE,5,70.3125,0.030391954,0.078804628,0.041753189
185,30,155,0,415,0.162162162,1,0.279069767,0.162162162,0.720437117,1.445105142,val_1se,1,20,TRUE,11,154.6875,0.078804628,0.148735211,0.078804628
162,30,132,0,438,0.185185185,1,0.3125,0.185185185,0.83513515,1.590321347,val_1se,3,20,TRUE,7,98.4375,0.078804628,0.148735211,0.078804628
159,30,129,0,441,0.188679245,1,0.317460317,0.188679245,0.860783143,1.630648492,val_1se,5,20,TRUE,6,84.375,0.078804628,0.148735211,0.078804628
154,30,124,0,446,0.194805195,1,0.326086957,0.194805195,0.880735849,1.664208573,val_1se,10,20,TRUE,5,70.3125,0.078804628,0.148735211,0.078804628
153,30,123,0,447,0.196078431,1,0.327868852,0.196078431,0.889758638,1.678509872,val_1se,20,20,TRUE,4,56.25,0.078804628,0.148735211,0.078804628
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+59,1.92E+118,BIC,1,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.53E+59,6.16E+118,BIC,3,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,6.58E+59,4.55E+119,BIC,5,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.56E+59,2.06E+119,BIC,10,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.32E+59,5.39E+118,BIC,20,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+59,1.92E+118,EBIC_g05,1,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
