"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","jaccard","coef_err","test_mse","frac_FN"
"BIC_corrected_thresh",5,15,25.7333333333333,25.6666666666667,0.0666666666666667,4.33333333333333,0.997435897435897,0.855555555555556,0.919511274509716,NA,0.853763440860215,0.92317903145243,1.83169892792037,1
"val_1se_thresh",5,15,25.4,25.3333333333333,0.0666666666666667,4.66666666666667,0.997435897435897,0.844444444444444,0.913353687524735,NA,0.842652329749104,0.950487531698471,1.86744171940088,1
"oracle_F1",5,15,60.2666666666667,28.2666666666667,32,1.73333333333333,0.477987485017529,0.942222222222222,0.630717563716151,NA,0.462999994479059,1.14910993635246,2.26425151435819,1
"val_1se_localonly",5,15,49.58,24.2066666666667,25.3733333333333,5.79333333333333,0.495580146152531,0.806888888888889,0.61118532096429,NA,0.441716373229725,1.00406103455709,2.04963480406217,1
"BIC_corrected_localonly",5,15,50.5666666666667,24.0533333333333,26.5133333333333,5.94666666666667,0.483065573801835,0.801777777777778,0.599932402297439,NA,0.429965530354456,0.983459105210249,2.01924915179192,1
"val_1se",5,15,96.1333333333333,29.7333333333333,66.4,0.266666666666667,0.319890339331934,0.991111111111111,0.480728417661157,NA,0.318652623400451,0.9347984126071,1.84253053090306,1
"BIC_corrected",5,15,98.4666666666667,29.6,68.8666666666667,0.4,0.308831567315676,0.986666666666667,0.467994226962848,NA,0.307651385698084,0.910576529535864,1.81190089375277,1
"val_mse_localonly",5,15,119.12,27.1666666666667,91.9533333333333,2.83333333333333,0.234558288089583,0.905555555555556,0.370981008372378,NA,0.22890334580865,0.893814663490768,1.85798198212558,1
"val_mse",5,15,284.8,30,254.8,0,0.113520197980949,1,0.202796855469825,NA,0.113520197980949,0.69346720040707,1.46776722913948,0
