"rule","E","n_rep","active","TP","FP","FN","precision","recall","F1","F1_se","jaccard","coef_err","test_mse","frac_FN"
"path_best_F1",5,30,187.733333333333,18.8666666666667,168.866666666667,11.1333333333333,0.125997835854335,0.628888888888889,0.197564407910478,NA,0.110460618505929,1.59501883601322,1.51993225069124,1
"val_mse",5,30,121.1,14.5666666666667,106.533333333333,15.4333333333333,0.144491566656703,0.485555555555556,0.193450497596465,NA,0.107736061869356,1.5854125259022,1.50717906254605,1
"val_mse_local_thresh",5,30,5.72,3.35666666666667,2.36333333333333,26.6433333333333,0.585752592160149,0.111888888888889,0.173055895400812,NA,0.10011686235433,1.62299874107549,1.54733519878762,1
"val_mse_localonly",5,30,50.6366666666667,7.37666666666667,43.26,22.6233333333333,0.175976906482076,0.245888888888889,0.17006971214502,NA,0.0938352478806964,1.61215477623941,1.5844665220305,1
"BIC_corrected",5,30,3.1,1.46666666666667,1.63333333333333,28.5333333333333,0.479513888888889,0.0488888888888889,0.0836790042944542,NA,0.0453173171662261,1.69539815308133,1.55118252843045,1
"BIC_corrected_localonly",5,30,1.07,0.596666666666667,0.473333333333333,29.4033333333333,0.505469640700371,0.0198888888888889,0.0373929378421252,NA,0.0194395071893534,1.69623757602061,1.55428130383392,1
"BIC_corrected_thresh",5,30,0.833333333333333,0.533333333333333,0.3,29.4666666666667,0.625,0.0177777777777778,0.0342741935483871,NA,0.0177777777777778,1.69862071987258,1.55284062936373,1
"BIC_corrected_local_thresh",5,30,0.48,0.36,0.12,29.64,0.626041666666667,0.012,0.0233476187092327,NA,0.0119768394057949,1.69760979820963,1.55480043051701,1
"val_1se",5,30,0.633333333333333,0.133333333333333,0.5,29.8666666666667,0.177777777777778,0.00444444444444444,0.00646464646464646,NA,0.00342261904761905,1.70267995270619,1.56173585995101,1
"val_1se_localonly",5,30,0.176666666666667,0.0366666666666667,0.14,29.9633333333333,0.177777777777778,0.00122222222222222,0.00217486028227716,NA,0.00111215538847118,1.70276044174179,1.56201853185539,1
"val_1se_thresh",5,30,0.1,0.0333333333333333,0.0666666666666667,29.9666666666667,0.333333333333333,0.00111111111111111,0.0021505376344086,NA,0.00111111111111111,1.70274890201425,1.56151398748537,1
"val_1se_local_thresh",5,30,0.0233333333333333,0.01,0.0133333333333333,29.99,0.333333333333333,0.000333333333333333,0.00066006600660066,NA,0.000333333333333333,1.70277960698244,1.56162208384247,1
