"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
160,21,139,9,431,0.13125,0.7,0.221052631578947,0.124260355029586,1.51400619726791,1.59727331904412,"val_mse",5,1,7,TRUE,160
77.6,10.7,66.9,19.3,503.1,0.137886597938144,0.356666666666667,0.198884758364312,0.110423116615067,1.53994805587811,1.66386818084131,"val_mse_localonly",5,1,7,TRUE,NA
4.7,3.2,1.5,26.8,568.5,0.680851063829787,0.106666666666667,0.184438040345821,0.101587301587302,1.60021110996907,1.62855339483337,"val_mse_local_thresh",5,1,7,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.643508114459,"val_1se",5,1,1,TRUE,0
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.643508114459,"val_1se_localonly",5,1,1,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.643508114459,"val_1se_local_thresh",5,1,1,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.643508114459,"val_1se_thresh",5,1,1,TRUE,0
1,0,1,30,569,0,0,0,0,1.70299151383067,1.6433910176978,"BIC_corrected",5,1,2,TRUE,1
0.3,0,0.3,30,569.7,0,0,0,0,1.70311486639374,1.6437438021359,"BIC_corrected_localonly",5,1,2,TRUE,NA
0.3,0,0.3,30,569.7,0,0,0,0,1.70311486639374,1.6437438021359,"BIC_corrected_local_thresh",5,1,2,TRUE,NA
1,0,1,30,569,0,0,0,0,1.70299151383067,1.6433910176978,"BIC_corrected_thresh",5,1,2,TRUE,1
494,29,465,1,105,0.0587044534412955,0.966666666666667,0.110687022900763,0.0585858585858586,1.52108908270102,1.61369746191359,"path_best_F1",5,1,8,TRUE,494
239,20,219,10,351,0.0836820083682008,0.666666666666667,0.148698884758364,0.0803212851405622,1.48111664144831,1.47461849707866,"val_mse",5,2,9,TRUE,239
107.6,11.3,96.3,18.7,473.7,0.105018587360595,0.376666666666667,0.164244186046512,0.0894695170229612,1.54590750045166,1.64730579267964,"val_mse_localonly",5,2,9,TRUE,NA
10.9,6.2,4.7,23.8,565.3,0.568807339449541,0.206666666666667,0.303178484107579,0.178674351585014,1.5434462960933,1.62334978324967,"val_mse_local_thresh",5,2,9,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.63592218722261,"val_1se",5,2,1,TRUE,0
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.63592218722261,"val_1se_localonly",5,2,1,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.63592218722261,"val_1se_local_thresh",5,2,1,TRUE,NA
0,0,0,30,570,NA,0,0,0,1.70293863659264,1.63592218722261,"val_1se_thresh",5,2,1,TRUE,0
3,1,2,29,568,0.333333333333333,0.0333333333333333,0.0606060606060606,0.03125,1.68948539704452,1.6181693598649,"BIC_corrected",5,2,2,TRUE,3
1.5,0.5,1,29.5,569,0.333333333333333,0.0166666666666667,0.0317460317460317,0.0161290322580645,1.69081637865343,1.62329261756108,"BIC_corrected_localonly",5,2,2,TRUE,NA
0.5,0.5,0,29.5,570,1,0.0166666666666667,0.0327868852459016,0.0166666666666667,1.69040218933397,1.62798817272338,"BIC_corrected_local_thresh",5,2,2,TRUE,NA
1,1,0,29,570,1,0.0333333333333333,0.0645161290322581,0.0333333333333333,1.68927966336884,1.62373509474916,"BIC_corrected_thresh",5,2,2,TRUE,1
246,24,222,6,348,0.0975609756097561,0.8,0.173913043478261,0.0952380952380952,1.55640622128349,1.64269976879032,"path_best_F1",5,2,7,TRUE,246
136,14,122,16,448,0.102941176470588,0.466666666666667,0.168674698795181,0.0921052631578947,1.66035380130971,1.79226881387268,"val_mse",5,3,6,TRUE,136
24.9,3.2,21.7,26.8,548.3,0.1285140562249,0.106666666666667,0.116575591985428,0.0618955512572534,1.69477952484086,1.90608688278291,"val_mse_localonly",5,3,6,TRUE,NA
