method,E,exact_zeros,eps_1e-06,eps_0.0001,eps_0.01,eps_0.1
FedAvg,1.0,198,402,402,357,103
FedAvg-ST,1.0,476,124,124,108,58
FedAvg,5.0,276,324,324,285,102
FedAvg-ST,5.0,479,121,120,107,54
FedAvg,20.0,296,304,304,271,107
FedAvg-ST,20.0,477,123,123,113,59
ADMM,,483,117,117,110,65
