active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,selected_rounds,selected_local_epochs,selected_vector_kib,tuning_rounds,tuning_local_epochs,tuning_vector_kib,candidate_count,scalar_rounds,total_rounds,vector_kib,scalar_kib,upload_kib,coef_err,test_mse,lam,fit_converged,local_dual_gap,local_dual_gap_tolerance,solver_iterations,solver_restarts,scenario,rep,max_local_dual_gap_ratio,local_fit_iterations,local_fit_dual_gaps,final_obj,primal_residual,dual_residual_scaled,kkt_residual,fit_tolerance,hit_round_cap,final_update_norm,tau,candidate_rounds,all_candidates_converged
225,29,196,1,374,0.1288888888888889,0.9666666666666667,0.22745098039215686,0.12831858407079647,FedAvg,2.0,9.0,18.0,9.0,18.0,126.5625,0.0,0.0,0.0,1,0,9.0,126.5625,0.0,126.5625,2.801528850479839,31.01741763629316,0.3596450198881253,True,,,,,Independent,5000,,,,18.842576197415188,,,,1e-05,False,2.204219349686495e-06,,,
32,16,16,14,554,0.5,0.5333333333333333,0.5161290322580645,0.34782608695652173,FedAvg-1SE,2.0,4.0,8.0,4.0,8.0,56.25,0.0,0.0,0.0,1,0,4.0,56.25,0.0,56.25,3.846043223206728,38.261707499646285,1.103660329907442,True,,,,,Independent,5000,,,,22.19140667778779,,,,1e-05,False,2.3463400348724016e-06,,,
42,24,18,6,552,0.5714285714285714,0.8,0.6666666666666666,0.5,FedAvg-ST,2.0,9.0,18.0,9.0,18.0,126.5625,0.0,0.0,0.0,1,1,10.0,126.5625,2.8125,129.375,3.1651162374049777,33.40400188382382,0.3596450198881253,True,,,,,Independent,5000,,,,17.86330913328065,,,,1e-05,False,2.204219349686495e-06,0.12210916581034144,,
225,29,196,1,374,0.1288888888888889,0.9666666666666667,0.22745098039215686,0.12831858407079647,FedAvg-ST-min,2.0,9.0,18.0,9.0,18.0,126.5625,0.0,0.0,0.0,1,1,10.0,126.5625,2.8125,129.375,2.801528850479839,31.01741763629316,0.3596450198881253,True,,,,,Independent,5000,,,,18.842576197415188,,,,1e-05,False,2.204219349686495e-06,0.0,,
63,24,39,6,531,0.38095238095238093,0.8,0.5161290322580645,0.34782608695652173,FedAvg-P,2.0,37.0,74.0,7.0,14.0,98.4375,30.0,60.0,421.875,5,1,38.0,520.3125,0.3515625,520.6640625,3.060909993989862,32.71495979206407,0.3596450198881253,True,,,,,Independent,5000,,,,17.75039565880209,,,,1e-05,False,9.982844813198883e-06,0.08991125497203133,"[7, 7, 7, 8, 8]",True
216,29,187,1,383,0.13425925925925927,0.9666666666666667,0.23577235772357724,0.1336405529953917,FedAvg,3.0,7.0,21.0,7.0,21.0,98.4375,0.0,0.0,0.0,1,0,7.0,98.4375,0.0,98.4375,2.8097984240595544,31.095929127394257,0.3596450198881253,True,,,,,Independent,5000,,,,18.851594799120882,,,,1e-05,False,1.6191135776713828e-06,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,3.0,3.0,9.0,3.0,9.0,42.1875,0.0,0.0,0.0,1,0,3.0,42.1875,0.0,42.1875,3.844720290617765,38.25100400844614,1.103660329907442,True,,,,,Independent,5000,,,,22.18352843841138,,,,1e-05,False,4.930519360136318e-06,,,
45,24,21,6,549,0.5333333333333333,0.8,0.64,0.47058823529411764,FedAvg-ST,3.0,7.0,21.0,7.0,21.0,98.4375,0.0,0.0,0.0,1,1,8.0,98.4375,2.8125,101.25,3.1804181914976954,33.51501684535499,0.3596450198881253,True,,,,,Independent,5000,,,,17.89997136259413,,,,1e-05,False,1.6191135776713828e-06,0.12210916581034144,,
216,29,187,1,383,0.13425925925925927,0.9666666666666667,0.23577235772357724,0.1336405529953917,FedAvg-ST-min,3.0,7.0,21.0,7.0,21.0,98.4375,0.0,0.0,0.0,1,1,8.0,98.4375,2.8125,101.25,2.8097984240595544,31.095929127394257,0.3596450198881253,True,,,,,Independent,5000,,,,18.851594799120882,,,,1e-05,False,1.6191135776713828e-06,0.0,,
59,25,34,5,536,0.423728813559322,0.8333333333333334,0.5617977528089888,0.390625,FedAvg-P,3.0,30.0,90.0,6.0,18.0,84.375,24.0,72.0,337.5,5,1,31.0,421.875,0.3515625,422.2265625,3.0684374194995745,32.778498764895865,0.3596450198881253,True,,,,,Independent,5000,,,,17.767532649380403,,,,1e-05,False,3.1985461321442976e-06,0.08991125497203133,"[6, 6, 6, 6, 6]",True
210,29,181,1,389,0.1380952380952381,0.9666666666666667,0.24166666666666667,0.13744075829383887,FedAvg,5.0,5.0,25.0,5.0,25.0,70.3125,0.0,0.0,0.0,1,0,5.0,70.3125,0.0,70.3125,2.8208469524011126,31.178734687396922,0.3596450198881253,True,,,,,Independent,5000,,,,18.868226491197618,,,,1e-05,False,4.7742980795525515e-06,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,5.0,3.0,15.0,3.0,15.0,42.1875,0.0,0.0,0.0,1,0,3.0,42.1875,0.0,42.1875,3.844369658223689,38.24893736993999,1.103660329907442,True,,,,,Independent,5000,,,,22.18340274608531,,,,1e-05,False,4.310734260220039e-09,,,
46,24,22,6,548,0.5217391304347826,0.8,0.631578947368421,0.46153846153846156,FedAvg-ST,5.0,5.0,25.0,5.0,25.0,70.3125,0.0,0.0,0.0,1,1,6.0,70.3125,2.8125,73.125,3.1897108078257035,33.582020497823805,0.3596450198881253,True,,,,,Independent,5000,,,,17.921005755707917,,,,1e-05,False,4.7742980795525515e-06,0.12210916581034144,,
