K,n_site,reps,p,total_n,lambda_fixed,sigma,fedavg_FP_probability_theory,pooled_FP_probability_theory,fedavg_FP_fraction_mean,fedavg_FP_fraction_mcse,fedavg_difference_in_mcse,pooled_FP_fraction_mean,pooled_FP_fraction_mcse,pooled_difference_in_mcse
2,120,1000,12,240,0.14999999999999999,1,0.19062672235652489,0.020136751550346339,0.19383333333333333,0.0035153468134416456,0.91217485698631706,0.018249999999999995,0.0012618005990896399,-1.495285032918507
3,80,1000,12,240,0.14999999999999999,1,0.44805184130453468,0.020136751550346339,0.4476666666666666,0.0045096690446939066,-0.085410843689578006,0.018916666666666665,0.0012684819851091881,-0.96184644165415722
6,40,1000,12,240,0.14999999999999999,1,0.91941432611139384,0.020136751550346339,0.91674999999999995,0.0024803181987914668,-1.0741872202897513,0.021833333333333333,0.0013530305994004811,1.2539123533043066
