scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,upload_kib_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,ADMM,,100,48.26,25.79,22.47,0.6007784847635228,0.8596666666666667,0.681437720007195,0.5268915461893693,2.5782067469794265,27.153114840819434,93.82,,1319.34375,0.010868479168565846,0.012421820951734028,0.05094351416693941,0.41455037275950735,0.01050140282435929,0.018005968230694752,1.9360805977045685
Correlated,FedAvg,1.0,100,263.24,28.47,234.77,0.11669107007181333,0.9490000000000001,0.20633298843232978,0.11581966427287338,2.9586925689785777,28.422303884794534,16.48,16.48,231.75,0.004772978623579622,0.0029835675509665236,0.03225604714025773,0.3470193026543349,0.004405256527485293,0.0030364567161399584,8.06703129654236
Correlated,FedAvg,2.0,100,235.42,28.24,207.18,0.1300912937695857,0.9413333333333334,0.22667539641918055,0.12882929475165006,2.9907157829810713,28.617887887604212,10.23,20.46,143.859375,0.005299012078093404,0.0033975068556983475,0.030582286106157278,0.34415393902794095,0.004880617428880608,0.003470262505613187,7.623994287044613
Correlated,FedAvg,3.0,100,222.29,28.11,194.18,0.13645430926693794,0.937,0.23626589801204645,0.13500379587402667,3.0058369983678266,28.70171442595032,8.17,24.51,114.890625,0.005365820131079494,0.003475817903072032,0.029963564119174467,0.34263320336909886,0.004966667796533441,0.0035536009705740626,6.940690953290666
Correlated,FedAvg,5.0,100,211.94,28.04,183.9,0.1414747177381958,0.9346666666666666,0.24389554890710535,0.13988850443840195,3.019664962393546,28.7669868907947,6.48,32.4,91.125,0.005224062495006171,0.003412015087852293,0.02938031478167574,0.3410798778845992,0.004829761829179502,0.0034959418576921415,6.118737903796299
Correlated,FedAvg,8.0,100,206.35,27.96,178.39,0.14374683103440217,0.932,0.24734652903578577,0.14205848305787586,3.027323365092402,28.799457682349335,5.34,42.72,75.09375,0.005013499195697399,0.003292090711450593,0.028989800227271253,0.34015521739307125,0.004783060269778359,0.0033795005074671856,5.503779693001066
Correlated,FedAvg,10.0,100,204.71,27.95,176.76,0.1443307420166618,0.9316666666666668,0.248269988802179,0.14263122161198066,3.0297742974035953,28.810550601515434,4.89,48.9,68.765625,0.004927357843392713,0.0032441796150584805,0.028837542057230308,0.3399766330817427,0.004793724854411024,0.0033302360159510277,5.210135712379682
Correlated,FedAvg,15.0,100,202.58,27.91,174.67,0.1449981690110382,0.9303333333333333,0.24930509415106336,0.14326777014799216,3.0325556023677747,28.823332855618563,4.17,62.55,58.640625,0.004813082664175125,0.0031774634956105666,0.028616196333408707,0.3397438080242537,0.004763662494252404,0.0032619371569245197,4.83499825034178
Correlated,FedAvg,20.0,100,201.55,27.9,173.65,0.1453503444004692,0.93,0.24986434848706074,0.1436117080567344,3.0336279213946495,28.82798724750021,3.76,75.2,52.875,0.0047494624663357975,0.003140285783189166,0.028522854728871064,0.33960473912680056,0.004866339179978144,0.003223633016826143,4.6509991323685425
Correlated,FedAvg-ST,1.0,100,59.27,24.15,35.12,0.45695148442365524,0.805,0.5648298352255892,0.4008986079194592,3.220206022850371,30.69782772132344,17.48,16.48,245.8125,0.010465042616174598,0.010198341659917481,0.035814040858753574,0.3940973705446227,0.008480187512485414,0.014371246742148977,2.3354905612346544
Correlated,FedAvg-ST,2.0,100,59.78,23.97,35.81,0.45239423563234515,0.799,0.5596240927772794,0.3958534891766003,3.256870076241478,30.914125589921113,11.23,20.46,157.921875,0.010550897889594395,0.010148443648148547,0.03399172288341335,0.38585567184211783,0.00782030222074528,0.014301205480463016,2.4509153103658767
Correlated,FedAvg-ST,3.0,100,59.43,23.98,35.45,0.4480567363060883,0.7993333333333333,0.5584308113759492,0.3941879717758407,3.2712612411637987,30.999791950596205,9.17,24.51,128.953125,0.010151420137389225,0.009804572845752063,0.033016969681550455,0.381664172888897,0.00788497555520452,0.013386059134322014,2.2428451898101547
Correlated,FedAvg-ST,5.0,100,59.94,23.87,36.07,0.4378443983875353,0.7956666666666666,0.5506838597357242,0.3859338361453449,3.282714116071755,31.052068250900703,7.48,32.4,105.1875,0.009570774812705173,0.009169653435969998,0.03225736774970908,0.37999954576853207,0.008007502094083801,0.01238278877419008,2.183631485541107
Correlated,FedAvg-ST,8.0,100,60.95,23.87,37.08,0.4316096703019533,0.7956666666666666,0.5459494511853276,0.3815786920914874,3.2867568766660673,31.06556392311839,6.34,42.72,89.15625,0.009717768198561785,0.00927148443763236,0.03190227510563299,0.37874737383131757,0.007425726505966546,0.012333684363814176,2.284173700695614
